number,title,gamma_id,url,type,last_viewed,topic_guess
1,"SY26-27 Re-Registration Customer Experience Journey Guide",nc18mfj8m5qr6h6,https://gamma.app/docs/nc18mfj8m5qr6h6,presentation,Viewed 2 months ago,Customer Experience / Enrollment
2,"Using AI to Analyze School Performance Data",tfa32xmkk88dk43,https://gamma.app/docs/tfa32xmkk88dk43,presentation,Viewed 4 months ago,AI & Data Analysis in Education
3,"Effective Academic Feedback",rsc1yizsmrlboyz,https://gamma.app/docs/rsc1yizsmrlboyz,presentation,Viewed 5 months ago,Academic Feedback
4,"Empowering Advanced Learning with AI: Practical Tools & Strategies for Teachers",xauz9r0eiw1ytjs,https://gamma.app/docs/xauz9r0eiw1ytjs,presentation,Viewed 7 months ago,AI Tools for Teachers
5,"Navigating the AI Frontier in Education: Challenges, Ethics, and the Path Forward",hv13a63alkwey41,https://gamma.app/docs/hv13a63alkwey41,presentation,Viewed 7 months ago,AI Ethics in Education
6,"AI in Education – Resource Hub",wpweywqpepjmmqm,https://gamma.app/docs/wpweywqpepjmmqm,presentation,Viewed 7 months ago,AI Education Resources
7,"empowering-advanced-learning-ai",q0rimpyhdk8gr04,https://gamma.app/docs/q0rimpyhdk8gr04,site,Viewed 7 months ago,AI Tools for Teachers (Site version)
8,"Afternoon Collaborative Program Proposal: Preparing K–12 Students for the AI Age",38q029zqpc1tsld,https://gamma.app/docs/38q029zqpc1tsld,presentation,Viewed 7 months ago,AI Program Proposal for K-12
9,"K12 Together",w02tp05efzls1c0,https://gamma.app/docs/w02tp05efzls1c0,presentation,Viewed 8 months ago,K-12 Collaboration
10,"Specialized GPTs for Professional Development",ehyve2xcaprp3qe,https://gamma.app/docs/ehyve2xcaprp3qe,presentation,Viewed 8 months ago,AI/GPT for Professional Development
11,"Curriculum Mapping Guide",8yz7dkacrjq0zrz,https://gamma.app/docs/8yz7dkacrjq0zrz,presentation,Viewed 8 months ago,Curriculum Planning
12,"AI in Finance: Practical Tools for Edtech Professionals",nqg3243757utw46,https://gamma.app/docs/nqg3243757utw46,presentation,Viewed 8 months ago,AI & Finance in Edtech
13,"From Concept to Classroom: An Introduction to AI and Generative AI",gfz0wa1pd5ozi1h,https://gamma.app/docs/gfz0wa1pd5ozi1h,presentation,Viewed 8 months ago,AI Introduction for Educators
14,"AI in Education",hhtx7jhkp21y4yj,https://gamma.app/docs/hhtx7jhkp21y4yj,presentation,Viewed 8 months ago,AI in Education (General)
15,"AI in Education – Resource Hub",h3b06drqvus4ont,https://gamma.app/docs/h3b06drqvus4ont,presentation,Viewed 8 months ago,AI Education Resources (Variant)
16,"ai-collaborative-program",4c0h7u9n09ue580,https://gamma.app/docs/4c0h7u9n09ue580,site,Viewed 10 months ago,AI Collaborative Program (Site)
17,"Copy of Afternoon Collaborative Program Proposal: Preparing K–12 Students for the AI Age",7wn0nsw4dx6t1zv,https://gamma.app/docs/7wn0nsw4dx6t1zv,site,Viewed 10 months ago,AI Program Proposal Copy (Site)
18,"Targeted Student Attendance",fh65d745uaykroh,https://gamma.app/docs/fh65d745uaykroh,presentation,Viewed 10 months ago,Student Attendance
19,"Quality Leadership and Instruction",r2fw0flhpekvox9,https://gamma.app/docs/r2fw0flhpekvox9,presentation,Viewed 10 months ago,Leadership & Instruction
20,"AI Ethics in Education",bqbwmcdhqk4jygq,https://gamma.app/docs/bqbwmcdhqk4jygq,presentation,Viewed 10 months ago,AI Ethics in Education
21,"AI Impact Champions: Inspiring K-12 Education",j8hngspinhr6ifk,https://gamma.app/docs/j8hngspinhr6ifk,presentation,Viewed 10 months ago,AI in K-12 Education
22,"Student Engagement in the Asynchronous Learning Model",7k171n360rglv1x,https://gamma.app/docs/7k171n360rglv1x,presentation,Viewed 10 months ago,Student Engagement / Async Learning
23,"The Secrets of High-Performing K–12 Schools",60smlwtlsy4n6gu,https://gamma.app/docs/60smlwtlsy4n6gu,presentation,Viewed 1 year ago,High-Performing Schools
24,"The Next Wave of Innovation: AI's Impact on Educational Paradigms",k52ivjezikb4dgo,https://gamma.app/docs/k52ivjezikb4dgo,site,Viewed 1 year ago,AI Innovation in Education (Site)
25,"K–12 School Preparation for State Assessments: Beyond Teaching to the Test",y8ovym6sd51aqcw,https://gamma.app/docs/y8ovym6sd51aqcw,presentation,Viewed 1 year ago,State Assessment Preparation
26,"How the Best Performing K–12 Schools Prepare for State Testing",6pvt5w9kdjfe1ie,https://gamma.app/docs/6pvt5w9kdjfe1ie,presentation,Viewed 1 year ago,State Testing Preparation
27,"Enhancing Student Engagement",ivo17e4wruvxx2f,https://gamma.app/docs/ivo17e4wruvxx2f,presentation,Viewed 1 year ago,Student Engagement
28,"Engaging Students",fvuh3o3jw0tsxs8,https://gamma.app/docs/fvuh3o3jw0tsxs8,presentation,Viewed 1 year ago,Student Engagement
29,"Staff Evaluation Learning Series",sw46ilu7qg750si,https://gamma.app/docs/sw46ilu7qg750si,presentation,Viewed 1 year ago,Staff Evaluation
30,"Enhancing Academic Feedback: Strategies for Effective, Actionable, and Personalized Feedback",8e5f2r61ewndjvj,https://gamma.app/docs/8e5f2r61ewndjvj,presentation,Viewed 1 year ago,Academic Feedback
31,"Enhancing Academic Feedback",y37sl359h09rof7,https://gamma.app/docs/y37sl359h09rof7,presentation,Viewed 1 year ago,Academic Feedback
32,"Effective Academic Feedback: From Understanding to Action",l9ypyjou5x4143d,https://gamma.app/docs/l9ypyjou5x4143d,presentation,Viewed 1 year ago,Academic Feedback
33,"AV Resources in Online K-12 Teaching",zzmlopj8i6rs6bw,https://gamma.app/docs/zzmlopj8i6rs6bw,presentation,Viewed 1 year ago,AV / Tech Resources for Online Teaching
34,"Enhancing Instructional Techniques: Excelling in Domain 3",s0hj7xhn9bq0pqm,https://gamma.app/docs/s0hj7xhn9bq0pqm,presentation,Viewed 1 year ago,Danielson Framework - Domain 3
35,"academic-integrity-ai-hub",nxpvihmhmu674f2,https://gamma.app/docs/nxpvihmhmu674f2,site,Viewed 1 year ago,Academic Integrity & AI (Site)
36,"Elevating Engagement in Asynchronous Online Learning",o4f27zny11nxguv,https://gamma.app/docs/o4f27zny11nxguv,presentation,Viewed 1 year ago,Async Online Learning Engagement
37,"Establishing a Culture for Learning",hp4ige20atg5vne,https://gamma.app/docs/hp4ige20atg5vne,presentation,Viewed 1 year ago,Danielson Framework - Domain 2
38,"Building a Positive and Productive Classroom Environment: Mastering Domain 2",i96qyg9ga3581xf,https://gamma.app/docs/i96qyg9ga3581xf,presentation,Viewed 1 year ago,Danielson Framework - Domain 2
39,"The Danielson Framework For Teaching",sb9eeadsn9kife1,https://gamma.app/docs/sb9eeadsn9kife1,presentation,Viewed 1 year ago,Danielson Framework Overview
40,"Professional Development on Quality Leadership and Instruction",ghku0c2uhkpfjzw,https://gamma.app/docs/ghku0c2uhkpfjzw,presentation,Viewed 1 year ago,Leadership & Instruction PD
41,"Response to Intervention (RTI) in K-12 Schools",gival5vmx773ng3,https://gamma.app/docs/gival5vmx773ng3,presentation,Viewed 1 year ago,RTI / Student Intervention
